@relation 'Feature Vector'

@attribute SourceMethodLength numeric
@attribute SourceAssignmentCount numeric
@attribute SourceIfCount numeric
@attribute SourceIteratorCount numeric
@attribute SourceSwitchCount numeric
@attribute SourceCaseCount numeric
@attribute SourceReturnCount numeric
@attribute SourceTryStatementCount numeric
@attribute SourceDeclaredVariableCount numeric
@attribute SourceExpressionCount numeric
@attribute SourceDistinctTypeCount numeric
@attribute TargetMethodLength numeric
@attribute TargetAssignmentCount numeric
@attribute TargetIfCount numeric
@attribute TargetIteratorCount numeric
@attribute TargetSwitchCount numeric
@attribute TargetCaseCount numeric
@attribute TargetReturnCount numeric
@attribute TargetTryStatementCount numeric
@attribute TargetDeclaredVariableCount numeric
@attribute TargetExpressionCount numeric
@attribute TargetDistinctTypeCount numeric
@attribute @@class@@ {TYPE1,TYPE2,VST3,ST3,MT3,WT3,nonmatch}

@data
27,3,2,1,0,0,3,3,3,11,7,7,0,0,0,0,0,0,0,2,5,5,WT3
17,0,0,1,0,0,0,0,2,13,7,20,1,0,0,0,0,0,0,2,18,7,WT3
13,1,0,0,0,0,0,1,3,8,7,71,6,3,0,0,0,3,1,23,59,23,WT3
16,6,0,1,0,0,0,0,6,13,11,18,1,0,1,0,0,0,2,4,8,8,WT3
73,10,10,1,0,0,2,4,9,20,20,32,6,3,2,0,0,0,1,7,15,8,WT3
31,0,0,1,0,0,0,1,7,18,12,16,5,3,1,0,0,1,0,8,12,8,WT3
9,0,0,0,0,0,0,0,2,7,7,21,3,1,1,0,0,0,1,4,12,8,WT3
13,0,0,0,0,0,0,1,5,8,7,18,0,2,1,0,0,2,0,5,8,6,WT3
10,1,1,0,0,0,0,0,2,6,3,16,2,2,1,0,0,1,0,4,9,4,WT3
5,2,1,0,0,0,1,0,0,2,1,19,0,0,0,0,0,0,1,7,13,8,WT3
21,1,1,2,0,0,0,0,9,14,6,9,1,0,0,0,0,0,0,5,7,11,WT3
16,0,0,0,0,0,0,1,4,11,5,65,2,5,1,0,0,0,4,6,47,15,WT3
34,1,0,1,0,0,0,2,11,23,14,17,2,2,0,0,0,0,1,4,8,7,WT3
83,4,11,2,0,0,3,2,11,45,14,7,0,0,0,0,0,0,0,2,5,5,WT3
19,3,0,1,0,0,0,1,5,12,9,14,0,2,0,0,0,3,1,3,3,12,WT3
12,0,0,0,0,0,0,0,4,9,4,44,4,2,3,0,0,1,0,22,30,17,WT3
